type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10
product_option,GT3wdJN1N1hP9844,,,,,,,,,,,,,,Size,52 EU (24 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,GT3wdJN1N1hP9844,,,,,,,,,,,,,,Size,54 EU (26 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,GT3wdJN1N1hP9844,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,
product_option,GT3wdJN1N1hP9844,,,,,,,,,,,,,,Size,32 EU (4 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,GT3wdJN1N1hP9844,,,,,,,,,,,,,,Size,34 EU (6 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,GT3wdJN1N1hP9844,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,GT3wdJN1N1hP9844,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,GT3wdJN1N1hP9844,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,GT3wdJN1N1hP9844,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,GT3wdJN1N1hP9844,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,GT3wdJN1N1hP9844,,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,GT3wdJN1N1hP9844,,,,,,,,,,,,,,Size,48 EU (20 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,GT3wdJN1N1hP9844,,,,,,,,,,,,,,Size,50 EU (22 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,GT3wdJN1N1hP9844,,,,,,,,,,,,,,Size,52 EU (24 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,GT3wdJN1N1hP9844,,,,,,,,,,,,,,Size,54 EU (26 UK),RADIOBUTTONS,TRUE,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_50443_66580,49.58,Black,32 EU (4 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_50443_50442,49.58,Black,34 EU (6 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_50443_50444,49.58,Black,36 EU (8 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_50443_50445,49.58,Black,38 EU (10 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_50443_50446,49.58,Black,40 EU (12 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_50443_50447,49.58,Black,42 EU (14 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_50443_50448,49.58,Black,44 EU (16 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_50443_50449,49.58,Black,46 EU (18 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_50443_66581,49.58,Black,48 EU (20 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_50443_66582,49.58,Black,50 EU (22 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_50443_66619,49.58,Black,52 EU (24 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_50443_66620,49.58,Black,54 EU (26 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_51563_66580,49.58,Navy,32 EU (4 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_51563_50442,49.58,Navy,34 EU (6 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_51563_50444,49.58,Navy,36 EU (8 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_51563_50445,49.58,Navy,38 EU (10 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_51563_50446,49.58,Navy,40 EU (12 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_51563_50447,49.58,Navy,42 EU (14 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_51563_50448,49.58,Navy,44 EU (16 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_51563_50449,49.58,Navy,46 EU (18 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_51563_66581,49.58,Navy,48 EU (20 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_51563_66582,49.58,Navy,50 EU (22 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_51563_66619,49.58,Navy,52 EU (24 UK),,,,,,,,,,,
product_variation,GT3wdJN1N1hP9844,,,,,,,,,,BT2256_51563_66620,49.58,Navy,54 EU (26 UK),,,,,,,,,,,
product,A5w50xKM80kCYXrP,Luna Ladies Waistcoat,Gilet met 5 knopen en 2 zakken. Verstelbare achterkant met voering in satijn.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=63815&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Brook Taverner,Kleding,Pullover/Cardigan/Gilet,https://media.europeancatalog.com/ws.php?act=download&mamfileid=63815&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,
product_option,A5w50xKM80kCYXrP,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,A5w50xKM80kCYXrP,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,
product_option,A5w50xKM80kCYXrP,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,
product_option,A5w50xKM80kCYXrP,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,
product_option,A5w50xKM80kCYXrP,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,
product_option,A5w50xKM80kCYXrP,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,
product_option,A5w50xKM80kCYXrP,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,
product_option,A5w50xKM80kCYXrP,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,
product_option,A5w50xKM80kCYXrP,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,
product_option,A5w50xKM80kCYXrP,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,
product_option,A5w50xKM80kCYXrP,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,
product_option,A5w50xKM80kCYXrP,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,
product_option,A5w50xKM80kCYXrP,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,
product_option,A5w50xKM80kCYXrP,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,
product_variation,A5w50xKM80kCYXrP,,,,,,,,,,BT2257_50436_50435,67.82,Black,XS,,,,,,,,,,,
product_variation,A5w50xKM80kCYXrP,,,,,,,,,,BT2257_50436_50437,67.82,Black,S,,,,,,,,,,,
product_variation,A5w50xKM80kCYXrP,,,,,,,,,,BT2257_50436_50438,67.82,Black,M,,,,,,,,,,,
product_variation,A5w50xKM80kCYXrP,,,,,,,,,,BT2257_50436_50439,67.82,Black,L,,,,,,,,,,,
product_variation,A5w50xKM80kCYXrP,,,,,,,,,,BT2257_50436_50440,67.82,Black,XL,,,,,,,,,,,
product_variation,A5w50xKM80kCYXrP,,,,,,,,,,BT2257_50436_50441,67.82,Black,XXL,,,,,,,,,,,
product_variation,A5w50xKM80kCYXrP,,,,,,,,,,BT2257_51564_50435,67.82,Navy,XS,,,,,,,,,,,
product_variation,A5w50xKM80kCYXrP,,,,,,,,,,BT2257_51564_50437,67.82,Navy,S,,,,,,,,,,,
product_variation,A5w50xKM80kCYXrP,,,,,,,,,,BT2257_51564_50438,67.82,Navy,M,,,,,,,,,,,
product_variation,A5w50xKM80kCYXrP,,,,,,,,,,BT2257_51564_50439,67.82,Navy,L,,,,,,,,,,,
product_variation,A5w50xKM80kCYXrP,,,,,,,,,,BT2257_51564_50440,67.82,Navy,XL,,,,,,,,,,,
product_variation,A5w50xKM80kCYXrP,,,,,,,,,,BT2257_51564_50441,67.82,Navy,XXL,,,,,,,,,,,
product,zD3qtI1Jfa1TdHvt,Pluto Straight Skirt,Rechte rok met voering en split aan de achterkant.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=474271&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Brook Taverner,Kleding,Rok,https://media.europeancatalog.com/ws.php?act=download&mamfileid=474271&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=151032&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,32 EU (4 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,34 EU (6 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,48 EU (20 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,50 EU (22 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,52 EU (24 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,54 EU (26 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,32 EU (4 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,34 EU (6 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,48 EU (20 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,50 EU (22 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,52 EU (24 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,zD3qtI1Jfa1TdHvt,,,,,,,,,,,,,,Size,54 EU (26 UK),RADIOBUTTONS,TRUE,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_50428_66583,58.38,Black,32 EU (4 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_50428_50427,58.38,Black,34 EU (6 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_50428_50429,58.38,Black,36 EU (8 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_50428_50430,58.38,Black,38 EU (10 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_50428_50431,58.38,Black,40 EU (12 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_50428_50432,58.38,Black,42 EU (14 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_50428_50433,58.38,Black,44 EU (16 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_50428_50434,58.38,Black,46 EU (18 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_50428_66584,58.38,Black,48 EU (20 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_50428_66585,58.38,Black,50 EU (22 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_50428_66586,58.38,Black,52 EU (24 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_50428_66587,58.38,Black,54 EU (26 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_51565_66583,58.38,Navy,32 EU (4 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_51565_50427,58.38,Navy,34 EU (6 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_51565_50429,58.38,Navy,36 EU (8 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_51565_50430,58.38,Navy,38 EU (10 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_51565_50431,58.38,Navy,40 EU (12 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_51565_50432,58.38,Navy,42 EU (14 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_51565_50433,58.38,Navy,44 EU (16 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_51565_50434,58.38,Navy,46 EU (18 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_51565_66584,58.38,Navy,48 EU (20 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_51565_66585,58.38,Navy,50 EU (22 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_51565_66586,58.38,Navy,52 EU (24 UK),,,,,,,,,,,
product_variation,zD3qtI1Jfa1TdHvt,,,,,,,,,,BT2258_51565_66587,58.38,Navy,54 EU (26 UK),,,,,,,,,,,
product,dXAYKttL7LvaaGEC,Riola Crepe de Chine blouse,94% polyester / 6% elasthan. Bloes met lange mouwen in Chinese crêpe. Goudkleurige knoop op de mouwuiteinden en goudkleurige rits achteraan. Gemakkelijk in onderhoud. Wasbaar in de machine.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246952&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Brook Taverner,Kleding,Overhemd / Blouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246952&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246951&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,
product_option,dXAYKttL7LvaaGEC,,,,,,,,,,,,,,Color,Cream,RADIOBUTTONS,TRUE,,,,,,,
product_option,dXAYKttL7LvaaGEC,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,dXAYKttL7LvaaGEC,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,dXAYKttL7LvaaGEC,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,dXAYKttL7LvaaGEC,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,dXAYKttL7LvaaGEC,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,dXAYKttL7LvaaGEC,,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,dXAYKttL7LvaaGEC,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,
product_option,dXAYKttL7LvaaGEC,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,dXAYKttL7LvaaGEC,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,dXAYKttL7LvaaGEC,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,dXAYKttL7LvaaGEC,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,dXAYKttL7LvaaGEC,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,dXAYKttL7LvaaGEC,,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_variation,dXAYKttL7LvaaGEC,,,,,,,,,,BT2264_56001_55995,63.18,Cream,36 EU (8 UK),,,,,,,,,,,
product_variation,dXAYKttL7LvaaGEC,,,,,,,,,,BT2264_56001_55996,63.18,Cream,38 EU (10 UK),,,,,,,,,,,
product_variation,dXAYKttL7LvaaGEC,,,,,,,,,,BT2264_56001_55997,63.18,Cream,40 EU (12 UK),,,,,,,,,,,
product_variation,dXAYKttL7LvaaGEC,,,,,,,,,,BT2264_56001_55998,63.18,Cream,42 EU (14 UK),,,,,,,,,,,
product_variation,dXAYKttL7LvaaGEC,,,,,,,,,,BT2264_56001_55999,63.18,Cream,44 EU (16 UK),,,,,,,,,,,
product_variation,dXAYKttL7LvaaGEC,,,,,,,,,,BT2264_56001_56000,63.18,Cream,46 EU (18 UK),,,,,,,,,,,
product_variation,dXAYKttL7LvaaGEC,,,,,,,,,,BT2264_56002_55995,63.18,White,36 EU (8 UK),,,,,,,,,,,
product_variation,dXAYKttL7LvaaGEC,,,,,,,,,,BT2264_56002_55996,63.18,White,38 EU (10 UK),,,,,,,,,,,
product_variation,dXAYKttL7LvaaGEC,,,,,,,,,,BT2264_56002_55997,63.18,White,40 EU (12 UK),,,,,,,,,,,
product_variation,dXAYKttL7LvaaGEC,,,,,,,,,,BT2264_56002_55998,63.18,White,42 EU (14 UK),,,,,,,,,,,
product_variation,dXAYKttL7LvaaGEC,,,,,,,,,,BT2264_56002_55999,63.18,White,44 EU (16 UK),,,,,,,,,,,
product_variation,dXAYKttL7LvaaGEC,,,,,,,,,,BT2264_56002_56000,63.18,White,46 EU (18 UK),,,,,,,,,,,
product,cnxFYZa42jiULnjg,Blouse in Chinese crêpe FELINA,94% polyester / 6% elasthan. Blouse met korte mouwen in Chinese crêpe. Goudkleurige rits op de achterkant. Onderhoudsvriendelijk. Wasbaar in de machine 30°C.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246956&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Brook Taverner,Kleding,Overhemd / Blouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246956&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,
product_option,cnxFYZa42jiULnjg,,,,,,,,,,,,,,Color,Cream,RADIOBUTTONS,TRUE,,,,,,,
product_option,cnxFYZa42jiULnjg,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,cnxFYZa42jiULnjg,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,cnxFYZa42jiULnjg,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,cnxFYZa42jiULnjg,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,cnxFYZa42jiULnjg,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,cnxFYZa42jiULnjg,,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,cnxFYZa42jiULnjg,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,
product_option,cnxFYZa42jiULnjg,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,cnxFYZa42jiULnjg,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,cnxFYZa42jiULnjg,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,cnxFYZa42jiULnjg,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,cnxFYZa42jiULnjg,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,cnxFYZa42jiULnjg,,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_variation,cnxFYZa42jiULnjg,,,,,,,,,,BT2265_61193_61187,59.96,Cream,36 EU (8 UK),,,,,,,,,,,
product_variation,cnxFYZa42jiULnjg,,,,,,,,,,BT2265_61193_61188,59.96,Cream,38 EU (10 UK),,,,,,,,,,,
product_variation,cnxFYZa42jiULnjg,,,,,,,,,,BT2265_61193_61189,59.96,Cream,40 EU (12 UK),,,,,,,,,,,
product_variation,cnxFYZa42jiULnjg,,,,,,,,,,BT2265_61193_61190,59.96,Cream,42 EU (14 UK),,,,,,,,,,,
product_variation,cnxFYZa42jiULnjg,,,,,,,,,,BT2265_61193_61191,59.96,Cream,44 EU (16 UK),,,,,,,,,,,
product_variation,cnxFYZa42jiULnjg,,,,,,,,,,BT2265_61193_61192,59.96,Cream,46 EU (18 UK),,,,,,,,,,,
product_variation,cnxFYZa42jiULnjg,,,,,,,,,,BT2265_61194_61187,59.96,White,36 EU (8 UK),,,,,,,,,,,
product_variation,cnxFYZa42jiULnjg,,,,,,,,,,BT2265_61194_61188,59.96,White,38 EU (10 UK),,,,,,,,,,,
product_variation,cnxFYZa42jiULnjg,,,,,,,,,,BT2265_61194_61189,59.96,White,40 EU (12 UK),,,,,,,,,,,
product_variation,cnxFYZa42jiULnjg,,,,,,,,,,BT2265_61194_61190,59.96,White,42 EU (14 UK),,,,,,,,,,,
product_variation,cnxFYZa42jiULnjg,,,,,,,,,,BT2265_61194_61191,59.96,White,44 EU (16 UK),,,,,,,,,,,
product_variation,cnxFYZa42jiULnjg,,,,,,,,,,BT2265_61194_61192,59.96,White,46 EU (18 UK),,,,,,,,,,,
product,9EWlKrt5YPur2WgW,Cordelia Ladies' jacket,"Vest 2 knopen, getailleerde snit, split in het midden achteraan.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=192027&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Brook Taverner,Kleding,Jas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=192027&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,
product_option,9EWlKrt5YPur2WgW,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,9EWlKrt5YPur2WgW,,,,,,,,,,,,,,Size,34 EU (6 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,9EWlKrt5YPur2WgW,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,9EWlKrt5YPur2WgW,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,9EWlKrt5YPur2WgW,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,9EWlKrt5YPur2WgW,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,9EWlKrt5YPur2WgW,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,9EWlKrt5YPur2WgW,,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,9EWlKrt5YPur2WgW,,,,,,,,,,,,,,Color,Navy Pin Dot,RADIOBUTTONS,TRUE,,,,,,,
product_option,9EWlKrt5YPur2WgW,,,,,,,,,,,,,,Size,34 EU (6 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,9EWlKrt5YPur2WgW,,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,9EWlKrt5YPur2WgW,,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,9EWlKrt5YPur2WgW,,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,9EWlKrt5YPur2WgW,,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,9EWlKrt5YPur2WgW,,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
